urn	text	signs
urn:cts:greekLit:tlg5026.msA.hmt:1.797	1.290-1.291	
urn:cts:greekLit:tlg5026.msA.hmt:1.797	1.290-1.291	
urn:cts:greekLit:tlg5026.msA.hmt:1.798	1.290-1.291	
urn:cts:greekLit:tlg5026.msA.hmt:1.799	1.293	
urn:cts:greekLit:tlg5026.msA.hmt:1.799	1.293	
urn:cts:greekLit:tlg5026.msA.hmt:1.800	1.294	
urn:cts:greekLit:tlg5026.msA.hmt:1.800	1.294	
urn:cts:greekLit:tlg5026.msA.hmt:1.801	1.298	
urn:cts:greekLit:tlg5026.msA.hmt:1.801	1.298	
urn:cts:greekLit:tlg5026.msA.hmt:1.802	1.299	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.802	1.299	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.803	1.299	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.803	1.299	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.862	1.302	
urn:cts:greekLit:tlg5026.msA.hmt:1.862	1.302	
urn:cts:greekLit:tlg5026.msA.hmt:1.863	1.305	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.863	1.305	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.864	1.307	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.864	1.307	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.865	1.312	
urn:cts:greekLit:tlg5026.msA.hmt:1.865	1.312	
urn:cts:greekLit:tlg5026.msA.hmt:1.866	1.314	
urn:cts:greekLit:tlg5026.msA.hmt:1.866	1.314	
urn:cts:greekLit:tlg5026.msA.hmt:1.867	1.317	
urn:cts:greekLit:tlg5026.msA.hmt:1.867	1.317	
urn:cts:greekLit:tlg5026.msA.hmt:1.868	1.320	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.868	1.320	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.869	1.321	
urn:cts:greekLit:tlg5026.msA.hmt:1.869	1.321	
urn:cts:greekLit:tlg5026.msA.hmt:1.870	1.322	
urn:cts:greekLit:tlg5026.msA.hmt:1.870	1.322	
urn:cts:greekLit:tlg5026.msA.hmt:1.871	1.323	
urn:cts:greekLit:tlg5026.msA.hmt:1.871	1.323	
urn:cts:greekLit:tlg5026.msA.hmt:1.872	1.324-1.325	
urn:cts:greekLit:tlg5026.msA.hmt:1.872	1.324-1.325	
